banco_dados;tamanho;data_hora
postgres;8149 kB;2021-10-09T14:49:51.566162100
Database2;7761 kB;2021-10-09T14:49:51.567162500
template1;7753 kB;2021-10-09T14:49:51.567162500
template0;7753 kB;2021-10-09T14:49:51.567162500
postgres;8149 kB;2021-10-09T15:09:46.198968700
Database2;7909 kB;2021-10-09T15:09:46.199968800
teste;7901 kB;2021-10-09T15:09:46.199968800
template1;7753 kB;2021-10-09T15:09:46.199968800
template0;7753 kB;2021-10-09T15:09:46.199968800
postgres;8149 kB;2021-10-09T15:13:10.832549800
Database2;7909 kB;2021-10-09T15:13:10.833049800
teste;7901 kB;2021-10-09T15:13:10.833049800
template1;7753 kB;2021-10-09T15:13:10.833550100
template0;7753 kB;2021-10-09T15:13:10.833550100
postgres;8149 kB;2021-10-09T15:15:40.989266600
Database2;7909 kB;2021-10-09T15:15:40.989266600
teste;7901 kB;2021-10-09T15:15:40.989767400
template1;7753 kB;2021-10-09T15:15:40.989767400
template0;7753 kB;2021-10-09T15:15:40.989767400
postgres;8149 kB;2021-10-09T16:04:00.524754400
Database2;7909 kB;2021-10-09T16:04:00.525754700
teste;7901 kB;2021-10-09T16:04:00.525754700
template1;7753 kB;2021-10-09T16:04:00.525754700
template0;7753 kB;2021-10-09T16:04:00.525754700
