banco_dados;rollback;commit;data_hora
Database2;0;0;2021-10-09T14:50:09.044585900
postgres;0;195;2021-10-09T14:50:09.045086100
template0;0;0;2021-10-09T14:50:09.045086100
template1;0;0;2021-10-09T14:50:09.045086100
null;0;0;2021-10-09T14:50:09.045086100
Database2;0;0;2021-10-09T14:50:19.681907800
postgres;0;196;2021-10-09T14:50:19.682407500
template0;0;0;2021-10-09T14:50:19.682407500
template1;0;0;2021-10-09T14:50:19.682407500
null;0;0;2021-10-09T14:50:19.682407500
Database2;0;0;2021-10-09T14:51:10.986417300
postgres;0;200;2021-10-09T14:51:10.986917400
template0;0;0;2021-10-09T14:51:10.986917400
template1;0;0;2021-10-09T14:51:10.987417900
null;0;0;2021-10-09T14:51:10.987417900
Database2;0;0;2021-10-09T14:51:22.835460600
postgres;0;204;2021-10-09T14:51:22.835960700
template0;0;0;2021-10-09T14:51:22.835960700
template1;0;0;2021-10-09T14:51:22.835960700
Database2;0;0;2021-10-09T14:52:40.100904600
postgres;0;288;2021-10-09T14:52:40.101404600
template0;0;0;2021-10-09T14:52:40.101404600
template1;0;0;2021-10-09T14:52:40.101404600
null;0;0;2021-10-09T14:52:40.101404600
Database2;0;0;2021-10-09T14:52:41.765664900
postgres;0;292;2021-10-09T14:52:41.765664900
template0;0;0;2021-10-09T14:52:41.765664900
template1;0;0;2021-10-09T14:52:41.765664900
null;0;0;2021-10-09T14:52:41.765664900
Database2;0;0;2021-10-09T14:53:34.515543500
postgres;0;349;2021-10-09T14:53:34.516043200
template0;0;0;2021-10-09T14:53:34.516043200
template1;0;0;2021-10-09T14:53:34.516043200
null;0;0;2021-10-09T14:53:34.516043200
Database2;0;0;2021-10-09T14:55:39.656935400
postgres;0;478;2021-10-09T14:55:39.657435700
template0;0;0;2021-10-09T14:55:39.657435700
template1;0;0;2021-10-09T14:55:39.657435700
teste;0;26;2021-10-09T14:55:39.657435700
null;0;0;2021-10-09T14:55:39.657435700
Database2;0;0;2021-10-09T14:55:53.822900800
postgres;0;482;2021-10-09T14:55:53.823400500
template0;0;0;2021-10-09T14:55:53.823400500
template1;0;0;2021-10-09T14:55:53.823400500
teste;0;40;2021-10-09T14:55:53.823901500
postgres;2;730;2021-10-09T15:09:59.701831700
Database2;0;23;2021-10-09T15:09:59.701831700
template0;0;0;2021-10-09T15:09:59.701831700
template1;0;0;2021-10-09T15:09:59.701831700
teste;0;647;2021-10-09T15:09:59.701831700
postgres;3;2305;2021-10-09T15:37:08.811450500
Database2;0;77;2021-10-09T15:37:08.811950200
template0;0;0;2021-10-09T15:37:08.811950200
template1;0;0;2021-10-09T15:37:08.811950200
teste;0;701;2021-10-09T15:37:08.811950200
postgres;3;2649;2021-10-09T15:56:52.488362500
Database2;0;117;2021-10-09T15:56:52.488863200
template0;0;0;2021-10-09T15:56:52.488863200
template1;0;0;2021-10-09T15:56:52.488863200
teste;0;741;2021-10-09T15:56:52.488863200
null;0;0;2021-10-09T15:56:52.488863200
